SCRIPT 14 — CONJETURA DEL FLIP EN GRANDES — V25
Investigador : Mizael Antonio Tovar Reyes
Fecha        : 2026-06-12 09:29:41
Reinicios: 25 | Laterales: 400 | Semilla: 2026

  [EXITO  ] Mycielski_M3             n=5    k=3   Phi0=5    flips=1       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Mycielski_M4             n=11   k=4   Phi0=11   flips=3       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Mycielski_M5             n=23   k=5   Phi0=23   flips=4       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Mycielski_M6             n=47   k=6   Phi0=47   flips=5       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Mycielski_M7             n=95   k=7   Phi0=95   flips=6       0.2s — CONJETURA SE SOSTIENE
  [EXITO  ] Kneser_K(5,2)            n=10   k=3   Phi0=10   flips=3       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Kneser_K(6,2)            n=15   k=4   Phi0=15   flips=5       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Kneser_K(7,2)            n=21   k=5   Phi0=21   flips=5       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Kneser_K(8,2)            n=28   k=6   Phi0=28   flips=6       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Kneser_K(9,2)            n=36   k=7   Phi0=36   flips=7       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Kneser_K(10,2)           n=45   k=8   Phi0=45   flips=8       0.1s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_3r_n14_s0        n=14   k=3   Phi0=14   flips=12      0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_3r_n14_s1        n=14   k=3   Phi0=14   flips=6       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_3r_n14_s2        n=14   k=3   Phi0=14   flips=6       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_3r_n20_s0        n=20   k=3   Phi0=20   flips=9       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_3r_n20_s1        n=20   k=3   Phi0=20   flips=8       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_3r_n20_s2        n=20   k=3   Phi0=20   flips=9       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_4r_n15_s0        n=15   k=3   Phi0=15   flips=6       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_4r_n15_s1        n=15   k=4   Phi0=15   flips=6       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_4r_n15_s2        n=15   k=3   Phi0=15   flips=5       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_4r_n21_s0        n=21   k=3   Phi0=21   flips=8       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_4r_n21_s1        n=21   k=3   Phi0=21   flips=8       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_4r_n21_s2        n=21   k=3   Phi0=21   flips=8       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_5r_n16_s0        n=16   k=4   Phi0=16   flips=6       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_5r_n16_s1        n=16   k=4   Phi0=16   flips=5       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_5r_n16_s2        n=16   k=4   Phi0=16   flips=5       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_5r_n22_s0        n=22   k=4   Phi0=22   flips=9       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_5r_n22_s1        n=22   k=4   Phi0=22   flips=7       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_5r_n22_s2        n=22   k=4   Phi0=22   flips=8       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_6r_n17_s0        n=17   k=4   Phi0=17   flips=5       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_6r_n17_s1        n=17   k=4   Phi0=17   flips=5       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Regular_6r_n17_s2        n=17   k=4   Phi0=17   flips=5       0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Arbol_n31                n=31   k=2   Phi0=31   flips=18      0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Grid_5x6                 n=30   k=2   Phi0=30   flips=13      0.0s — CONJETURA SE SOSTIENE
  [EXITO  ] Hipercubo_Q4             n=16   k=2   Phi0=16   flips=5       0.0s — CONJETURA SE SOSTIENE

Exitos: 35 | Sin ruta: 0 | 0.0 min
